skill
python
sql
mysql
postgresql
postgres
mongodb
machine learning
deep learning
artificial intelligence
natural language processing
nlp
pandas
numpy
scikit-learn
tensorflow
pytorch
power bi
tableau
excel
advanced excel
r
r programming
java
javascript
html
css
c++
c#
.net
aws
azure
gcp
docker
kubernetes
git
github
linux
flask
fastapi
streamlit
django
power query
dax
etl
data analysis
data analytics
data science
statistics
matplotlib
seaborn
opencv
generative ai
llm
prompt engineering
rest api
api
pl/sql
sql server
mssql
oracle
blue prism
